日期,code,收盘
2020-02-10,600660,19.81251562
2020-02-10,600900,14.31346203
2020-02-10,600941,
2020-02-10,601006,4.90326858
2020-02-10,601088,10.21150695
2020-02-10,601398,3.76899754
2020-02-10,601728,
2020-02-11,2352,40.16014695
2020-02-11,600036,26.92723697
2020-02-11,600104,17.8378524
2020-02-11,600660,20.09168078
2020-02-11,600900,14.2891056
2020-02-11,600941,
2020-02-11,601006,4.93689868
2020-02-11,601088,10.39887405
2020-02-11,601398,3.79681302
2020-02-11,601728,
2020-02-12,2352,39.7885455
2020-02-12,600036,26.9499476
2020-02-12,600104,18.105462
2020-02-12,600660,20.12452374
2020-02-12,600900,14.27286798
2020-02-12,600941,
2020-02-12,601006,4.9436247
2020-02-12,601088,10.39887405
2020-02-12,601398,3.79681302
2020-02-12,601728,
2020-02-13,2352,38.8640736
2020-02-13,600036,26.70013067
2020-02-13,600104,18.0301968
2020-02-13,600660,19.81251562
2020-02-13,600900,14.2891056
2020-02-13,600941,
2020-02-13,601006,4.92344664
2020-02-13,601088,10.35515506
2020-02-13,601398,3.76204367
2020-02-13,601728,
2020-02-14,2352,38.49247215
2020-02-14,600036,26.98022844
2020-02-14,600104,17.9716572
2020-02-14,600660,20.02599486
2020-02-14,600900,14.30534322
2020-02-14,600941,
2020-02-14,601006,4.9099946
2020-02-14,601088,10.44259304
2020-02-14,601398,3.77595141
2020-02-14,601728,
2020-02-17,2352,42.00909075
2020-02-17,600036,27.38144957
2020-02-17,600104,19.0170072
2020-02-17,600660,20.75675072
2020-02-17,600900,14.36217489
2020-02-17,600941,
2020-02-17,601006,4.9772548
2020-02-17,601088,10.54876773
2020-02-17,601398,3.81767463
2020-02-17,601728,
2020-02-18,2352,41.42902995
2020-02-18,600036,27.0256497
2020-02-18,600104,18.8832024
2020-02-18,600660,20.45295334
2020-02-18,600900,14.22415512
2020-02-18,600941,
2020-02-18,601006,4.96380276
2020-02-18,601088,10.44883861
2020-02-18,601398,3.79681302
2020-02-18,601728,
2020-02-19,2352,42.2538039
2020-02-19,600036,26.89695613
2020-02-19,600104,19.02537
2020-02-19,600660,20.23126336
2020-02-19,600900,14.22415512
2020-02-19,600941,
2020-02-19,601006,4.95707674
2020-02-19,601088,10.3676462
2020-02-19,601398,3.81072076
2020-02-19,601728,
2020-02-20,2352,42.40788255
2020-02-20,600036,27.23761558
2020-02-20,600104,19.23444
2020-02-20,600660,20.60074666
2020-02-20,600900,14.30534322
2020-02-20,600941,
2020-02-20,601006,4.99070684
2020-02-20,601088,10.46757532
2020-02-20,601398,3.83158237
2020-02-20,601728,
2020-02-21,2352,41.50153755
2020-02-21,600036,26.98022844
2020-02-21,600104,19.945278
2020-02-21,600660,20.53506074
2020-02-21,600900,14.23227393
2020-02-21,600941,
2020-02-21,601006,4.99070684
2020-02-21,601088,10.45508418
2020-02-21,601398,3.81767463
2020-02-21,601728,
2020-02-24,2352,41.6556162
2020-02-24,600036,26.53358605
2020-02-24,600104,19.819836
2020-02-24,600660,20.65822184
2020-02-24,600900,14.13484821
2020-02-24,600941,
2020-02-24,601006,4.92344664
2020-02-24,601088,10.32392721
2020-02-24,601398,3.78290528
2020-02-24,601728,
2020-02-25,2352,44.98190235
2020-02-25,600036,26.21563723
2020-02-25,600104,19.8031104
2020-02-25,600660,20.50221778
2020-02-25,600900,13.94811558
2020-02-25,600941,
2020-02-25,601006,4.86963848
2020-02-25,601088,10.14280568
2020-02-25,601398,3.76204367
2020-02-25,601728,
2020-02-26,2352,44.00304975
2020-02-26,600036,26.36704143
2020-02-26,600104,19.6609428
2020-02-26,600660,20.116313
2020-02-26,600900,13.801977
2020-02-26,600941,
2020-02-26,601006,4.90326858
2020-02-26,601088,10.27396265
2020-02-26,601398,3.76204367
2020-02-26,601728,
2020-02-27,2352,45.3535038
2020-02-27,600036,26.66227962
2020-02-27,600104,19.527138
2020-02-27,600660,19.9520982
2020-02-27,600900,13.98870963
2020-02-27,600941,
2020-02-27,601006,4.8763645
2020-02-27,601088,10.24898037
2020-02-27,601398,3.7550898
2020-02-27,601728,
2020-02-28,2352,44.36558775
2020-02-28,600036,25.8901182
2020-02-28,600104,18.5737788
2020-02-28,600660,19.02428458
2020-02-28,600900,13.82633343
2020-02-28,600941,
2020-02-28,601006,4.76202216
2020-02-28,601088,9.992912
2020-02-28,601398,3.6855511
2020-02-28,601728,
2020-03-02,2352,45.34444035
2020-03-02,600036,26.30647975
2020-03-02,600104,19.401696
2020-03-02,600660,19.45124306
2020-03-02,600900,14.01306606
2020-03-02,600941,
2020-03-02,601006,4.84946042
2020-03-02,601088,10.37389177
2020-03-02,601398,3.72727432
2020-03-02,601728,
2020-03-03,2352,43.5770676
2020-03-03,600036,26.20806702
2020-03-03,600104,19.65258
2020-03-03,600660,19.27881752
2020-03-03,600900,14.26474917
2020-03-03,600941,
2020-03-03,601006,4.86291246
2020-03-03,601088,10.47382089
2020-03-03,601398,3.74118206
2020-03-03,601728,
2020-03-04,2352,43.62238485
2020-03-04,600036,26.32919038
2020-03-04,600104,19.8031104
2020-03-04,600660,19.31987122
2020-03-04,600900,14.28098679
2020-03-04,600941,
2020-03-04,601006,4.91672062
2020-03-04,601088,10.44259304
2020-03-04,601398,3.74813593
2020-03-04,601728,
2020-03-05,2352,44.048367
2020-03-05,600036,27.42687083
2020-03-05,600104,19.7445708
2020-03-05,600660,19.64830082
2020-03-05,600900,14.38653132
2020-03-05,600941,
2020-03-05,601006,4.96380276
2020-03-05,601088,10.64869685
2020-03-05,601398,3.79681302
2020-03-05,601728,
2020-03-06,2352,43.42298895
2020-03-06,600036,26.80611361
2020-03-06,600104,19.1675376
2020-03-06,600660,19.34450344
2020-03-06,600900,14.19167988
2020-03-06,600941,
2020-03-06,601006,4.89654256
2020-03-06,601088,10.47382089
2020-03-06,601398,3.76204367
2020-03-06,601728,
2020-03-09,2352,42.598215
2020-03-09,600036,25.87497778
2020-03-09,600104,18.6155928
2020-03-09,600660,18.87649126
2020-03-09,600900,14.16732345
2020-03-09,600941,
2020-03-09,601006,4.79565226
2020-03-09,601088,10.16778796
2020-03-09,601398,3.69250497
2020-03-09,601728,
2020-03-10,2352,42.64353225
2020-03-10,600036,26.25348828
2020-03-10,600104,19.485324
2020-03-10,600660,19.10639198
2020-03-10,600900,14.32158084
2020-03-10,600941,
2020-03-10,601006,4.83600838
2020-03-10,601088,10.33641835
2020-03-10,601398,3.72727432
2020-03-10,601728,
2020-03-11,2352,41.70093345
2020-03-11,600036,26.07937345
2020-03-11,600104,19.150812
2020-03-11,600660,18.85185904
2020-03-11,600900,14.28098679
2020-03-11,600941,
2020-03-11,601006,4.78892624
2020-03-11,601088,10.25522594
2020-03-11,601398,3.69945884
2020-03-11,601728,
2020-03-12,2352,40.5861291
2020-03-12,600036,25.85983736
2020-03-12,600104,18.9584676
2020-03-12,600660,18.40026834
2020-03-12,600900,14.16732345
2020-03-12,600941,
2020-03-12,601006,4.79565226
2020-03-12,601088,10.15529682
2020-03-12,601398,3.67859723
2020-03-12,601728,
2020-03-13,2352,40.0241952
2020-03-13,600036,25.29207161
2020-03-13,600104,18.5319648
2020-03-13,600660,17.8994132
2020-03-13,600900,13.801977
2020-03-13,600941,
2020-03-13,601006,4.7418441
2020-03-13,601088,10.01164871
2020-03-13,601398,3.62992014
2020-03-13,601728,
2020-03-16,2352,38.972835
2020-03-16,600036,23.97485507
2020-03-16,600104,17.4448008
2020-03-16,600660,17.30002918
2020-03-16,600900,13.73702652
2020-03-16,600941,
2020-03-16,601006,4.72166604
2020-03-16,601088,9.94919301
2020-03-16,601398,3.59515079
2020-03-16,601728,
2020-03-17,2352,38.8096929
2020-03-17,600036,24.02027633
2020-03-17,600104,17.3193588
2020-03-17,600660,16.61853776
2020-03-17,600900,13.74514533
2020-03-17,600941,
2020-03-17,601006,4.7418441
2020-03-17,601088,9.8055449
2020-03-17,601398,3.59515079
2020-03-17,601728,
2020-03-18,2352,39.2084847
2020-03-18,600036,23.33138722
2020-03-18,600104,16.809228
2020-03-18,600660,16.44611222
2020-03-18,600900,13.57465032
2020-03-18,600941,
2020-03-18,601006,4.68803594
2020-03-18,601088,9.69312464
2020-03-18,601398,3.55342757
2020-03-18,601728,
2020-03-19,2352,40.6948905
2020-03-19,600036,22.18828551
2020-03-19,600104,15.9060456
2020-03-19,600660,15.85493894
2020-03-19,600900,13.28237316
2020-03-19,600941,
2020-03-19,601006,4.54678952
2020-03-19,601088,9.23095246
2020-03-19,601398,3.46998113
2020-03-19,601728,
2020-03-20,2352,41.0030478
2020-03-20,600036,23.49793184
2020-03-20,600104,15.931134
2020-03-20,600660,15.87136042
2020-03-20,600900,13.38791769
2020-03-20,600941,
2020-03-20,601006,4.56696758
2020-03-20,601088,9.29965373
2020-03-20,601398,3.53256596
2020-03-20,601728,
2020-03-23,2352,40.35954285
2020-03-23,600036,22.83175336
2020-03-23,600104,14.802156
2020-03-23,600660,14.72185682
2020-03-23,600900,13.41227412
2020-03-23,600941,
2020-03-23,601006,4.49970738
2020-03-23,601088,9.23095246
2020-03-23,601398,3.46998113
2020-03-23,601728,
2020-03-24,2352,40.6586367
2020-03-24,600036,23.85373171
2020-03-24,600104,15.88932
2020-03-24,600660,15.3951375
2020-03-24,600900,13.72890771
2020-03-24,600941,
2020-03-24,601006,4.59387166
2020-03-24,601088,9.73059806
2020-03-24,601398,3.56038144
2020-03-24,601728,
2020-03-25,2352,42.22661355
2020-03-25,600036,24.59561229
2020-03-25,600104,17.1688284
2020-03-25,600660,16.84022774
2020-03-25,600900,13.82633343
2020-03-25,600941,
2020-03-25,601006,4.6409538
2020-03-25,601088,9.79305376
2020-03-25,601398,3.60210466
2020-03-25,601728,
2020-03-26,2352,41.6012355
2020-03-26,600036,24.76972712
2020-03-26,600104,16.8008652
2020-03-26,600660,16.19157928
2020-03-26,600900,13.66395723
2020-03-26,600941,
2020-03-26,601006,4.56696758
2020-03-26,601088,9.95543858
2020-03-26,601398,3.60210466
2020-03-26,601728,
2020-03-27,2352,41.329332
2020-03-27,600036,24.76972712
2020-03-27,600104,17.1688284
2020-03-27,600660,16.0519967
2020-03-27,600900,13.72890771
2020-03-27,600941,
2020-03-27,601006,4.6073237
2020-03-27,601088,10.16154239
2020-03-27,601398,3.62296627
2020-03-27,601728,
2020-03-30,2352,42.77042055
2020-03-30,600036,24.71673565
2020-03-30,600104,17.6287824
2020-03-30,600660,15.52650934
2020-03-30,600900,13.8831651
2020-03-30,600941,
2020-03-30,601006,4.5736936
2020-03-30,601088,10.35515506
2020-03-30,601398,3.62992014
2020-03-30,601728,
2020-03-31,2352,42.8157378
2020-03-31,600036,24.43663788
2020-03-31,600104,17.14374
2020-03-31,600660,15.74819932
2020-03-31,600900,14.03742249
2020-03-31,600941,
2020-03-31,601006,4.5736936
2020-03-31,601088,10.14280568
2020-03-31,601398,3.58124305
2020-03-31,601728,
2020-04-01,2352,41.55591825
2020-04-01,600036,24.32308473
2020-04-01,600104,16.4914416
2020-04-01,600660,15.48545564
2020-04-01,600900,13.82633343
2020-04-01,600941,
2020-04-01,601006,4.52661146
2020-04-01,601088,9.992912
2020-04-01,601398,3.58819692
2020-04-01,601728,
2020-04-02,2352,41.9456466
2020-04-02,600036,24.48205914
2020-04-02,600104,16.265646
2020-04-02,600660,15.48545564
2020-04-02,600900,14.01306606
2020-04-02,600941,
2020-04-02,601006,4.5736936
2020-04-02,601088,10.14905125
2020-04-02,601398,3.60905853
2020-04-02,601728,
2020-04-03,2352,42.87918195
2020-04-03,600036,24.33822515
2020-04-03,600104,16.1652924
2020-04-03,600660,15.40334824
2020-04-03,600900,13.98059082
2020-04-03,600941,
2020-04-03,601006,4.56024156
2020-04-03,601088,10.06785884
2020-04-03,601398,3.57428918
2020-04-03,601728,
2020-04-07,2352,44.34746085
2020-04-07,600036,24.61832292
2020-04-07,600104,16.2405576
2020-04-07,600660,15.61682748
2020-04-07,600900,14.00494725
2020-04-07,600941,
2020-04-07,601006,4.62750176
2020-04-07,601088,10.08034998
2020-04-07,601398,3.58819692
2020-04-07,601728,
2020-04-08,2352,44.1390015
2020-04-08,600036,24.39121662
2020-04-08,600104,16.1318412
2020-04-08,600660,15.4772449
2020-04-08,600900,13.97247201
2020-04-08,600941,
2020-04-08,601006,4.62077574
2020-04-08,601088,10.08034998
2020-04-08,601398,3.57428918
2020-04-08,601728,
2020-04-09,2352,44.048367
2020-04-09,600036,24.4517783
2020-04-09,600104,16.2823716
2020-04-09,600660,15.49366638
2020-04-09,600900,13.85068986
2020-04-09,600941,
2020-04-09,601006,4.61404972
2020-04-09,601088,9.992912
2020-04-09,601398,3.56733531
2020-04-09,601728,
2020-04-10,2352,43.62238485
2020-04-10,600036,24.3003741
2020-04-10,600104,15.8224176
2020-04-10,600660,15.4772449
2020-04-10,600900,13.84257105
2020-04-10,600941,
2020-04-10,601006,4.63422778
2020-04-10,601088,9.92421073
2020-04-10,601398,3.55342757
2020-04-10,601728,
2020-04-13,2352,44.410905
2020-04-13,600036,24.17168053
2020-04-13,600104,15.6217104
2020-04-13,600660,15.41155898
2020-04-13,600900,13.89128391
2020-04-13,600941,
2020-04-13,601006,4.58041962
2020-04-13,601088,9.89922845
2020-04-13,601398,3.5464737
2020-04-13,601728,
2020-04-14,2352,44.27495325
2020-04-14,600036,24.76215691
2020-04-14,600104,15.847506
2020-04-14,600660,15.50187712
2020-04-14,600900,13.98870963
2020-04-14,600941,
2020-04-14,601006,4.63422778
2020-04-14,601088,10.09908669
2020-04-14,601398,3.56038144
2020-04-14,601728,
2020-04-15,2352,43.42298895
2020-04-15,600036,24.54262082
2020-04-15,600104,15.5464452
2020-04-15,600660,15.56756304
2020-04-15,600900,13.85880867
2020-04-15,600941,
2020-04-15,601006,4.6073237
2020-04-15,601088,9.94919301
2020-04-15,601398,3.56733531
2020-04-15,601728,
2020-04-16,2352,43.2326565
2020-04-16,600036,24.3003741
2020-04-16,600104,15.8642316
2020-04-16,600660,15.40334824
2020-04-16,600900,13.92375915
2020-04-16,600941,
2020-04-16,601006,4.59387166
2020-04-16,601088,9.992912
2020-04-16,601398,3.56038144
2020-04-16,601728,
2020-04-17,2352,44.1027477
2020-04-17,600036,24.87571006
2020-04-17,600104,15.88932
2020-04-17,600660,15.78925302
2020-04-17,600900,13.89940272
2020-04-17,600941,
2020-04-17,601006,4.6073237
2020-04-17,601088,10.01164871
2020-04-17,601398,3.58124305
2020-04-17,601728,
2020-04-20,2352,44.14806495
2020-04-20,600036,24.9059909
2020-04-20,600104,15.722064
2020-04-20,600660,15.79746376
2020-04-20,600900,13.801977
2020-04-20,600941,
2020-04-20,601006,4.58714564
2020-04-20,601088,9.94294744
2020-04-20,601398,3.56038144
2020-04-20,601728,
2020-04-21,2352,43.44111585
2020-04-21,600036,24.71673565
2020-04-21,600104,15.5631708
2020-04-21,600660,15.53472008
2020-04-21,600900,13.87504629
2020-04-21,600941,
2020-04-21,601006,4.53333748
2020-04-21,601088,9.59944109
2020-04-21,601398,3.53256596
2020-04-21,601728,
2020-04-22,2352,44.41996845
2020-04-22,600036,24.77729733
2020-04-22,600104,15.512994
2020-04-22,600660,15.44440194
2020-04-22,600900,13.98059082
2020-04-22,600941,
2020-04-22,601006,4.56024156
2020-04-22,601088,9.60568666
2020-04-22,601398,3.53951983
2020-04-22,601728,
2020-04-23,2352,44.43809535
2020-04-23,600036,24.74701649
2020-04-23,600104,15.3624636
2020-04-23,600660,15.54293082
2020-04-23,600900,14.0455413
2020-04-23,600941,
2020-04-23,601006,4.58714564
2020-04-23,601088,9.5557221
2020-04-23,601398,3.52561209
2020-04-23,601728,
2020-04-24,2352,43.1075172
2020-04-24,600036,24.61075271
2020-04-24,600104,15.2704728
2020-04-24,600660,15.4361912
2020-04-24,600900,14.23227393
2020-04-24,600941,
2020-04-24,601006,4.58041962
2020-04-24,601088,9.46828412
2020-04-24,601398,3.51170435
2020-04-24,601728,
2020-04-27,2352,42.84322164
2020-04-27,600036,25.42076518
2020-04-27,600104,15.0446772
2020-04-27,600660,15.46082342
2020-04-27,600900,14.29722441
2020-04-27,600941,
2020-04-27,601006,4.56024156
2020-04-27,601088,9.56821324
2020-04-27,601398,3.53951983
2020-04-27,601728,
2020-04-28,2352,43.8366084
2020-04-28,600036,25.63273106
2020-04-28,600104,14.9359608
2020-04-28,600660,15.48545564
2020-04-28,600900,14.41088775
2020-04-28,600941,
2020-04-28,601006,4.51988544
2020-04-28,601088,9.59944109
2020-04-28,601398,3.55342757
2020-04-28,601728,
2020-04-29,2352,42.6974034
2020-04-29,600036,26.51087542
2020-04-29,600104,15.1283052
2020-04-29,600660,15.70714562
2020-04-29,600900,14.29722441
2020-04-29,600941,
2020-04-29,601006,4.76202216
2020-04-29,601088,9.77431705
2020-04-29,601398,3.58124305
2020-04-29,601728,
2020-04-30,2352,42.64272156
2020-04-30,600036,26.56386689
2020-04-30,600104,15.805692
2020-04-30,600660,16.24905446
2020-04-30,600900,14.16732345
2020-04-30,600941,
2020-04-30,601006,4.82928236
2020-04-30,601088,9.94919301
2020-04-30,601398,3.59515079
2020-04-30,601728,
2020-05-06,2352,42.72474432
2020-05-06,600036,26.21563723
2020-05-06,600104,16.4078136
2020-05-06,600660,16.24084372
2020-05-06,600900,13.99682844
2020-05-06,600941,
2020-05-06,601006,4.708214
2020-05-06,601088,9.84926389
2020-05-06,601398,3.55342757
2020-05-06,601728,
2020-05-07,2352,42.03210768
2020-05-07,600036,26.07937345
2020-05-07,600104,16.432902
2020-05-07,600660,16.93054588
2020-05-07,600900,13.82633343
2020-05-07,600941,
2020-05-07,601006,4.68803594
2020-05-07,601088,9.84926389
2020-05-07,601398,3.5464737
2020-05-07,601728,
2020-05-08,2352,41.84072124
2020-05-08,600036,26.47302437
2020-05-08,600104,16.9681212
2020-05-08,600660,16.96338884
2020-05-08,600900,13.87504629
2020-05-08,600941,
2020-05-08,601006,4.6745839
2020-05-08,601088,9.90547402
2020-05-08,601398,3.5464737
2020-05-08,601728,
2020-05-11,2352,42.9708126
2020-05-11,600036,26.46545416
2020-05-11,600104,16.809228
2020-05-11,600660,17.2015003
2020-05-11,600900,13.93187796
2020-05-11,600941,
2020-05-11,601006,4.68130992
2020-05-11,601088,9.92421073
2020-05-11,601398,3.57428918
2020-05-11,601728,
2020-05-12,2352,42.59715336
2020-05-12,600036,26.18535639
2020-05-12,600104,16.5499812
2020-05-12,600660,17.0372855
2020-05-12,600900,13.98059082
2020-05-12,600941,
2020-05-12,601006,4.68130992
2020-05-12,601088,9.97417529
2020-05-12,601398,3.56733531
2020-05-12,601728,
2020-05-13,2352,42.44222148
2020-05-13,600036,26.14750534
2020-05-13,600104,16.3241856
2020-05-13,600660,16.81559552
2020-05-13,600900,13.94811558
2020-05-13,600941,
2020-05-13,601006,4.68130992
2020-05-13,601088,9.9304563
2020-05-13,601398,3.56733531
2020-05-13,601728,
2020-05-14,2352,41.72224392
2020-05-14,600036,25.68572253
2020-05-14,600104,15.8391432
2020-05-14,600660,16.52000888
2020-05-14,600900,13.92375915
2020-05-14,600941,
2020-05-14,601006,4.66113186
2020-05-14,601088,9.91171959
2020-05-14,601398,3.5464737
2020-05-14,601728,
2020-05-15,2352,41.4214938
2020-05-15,600036,25.62516085
2020-05-15,600104,15.554808
2020-05-15,600660,16.35579408
2020-05-15,600900,13.93187796
2020-05-15,600941,
2020-05-15,601006,4.65440584
2020-05-15,601088,10.01164871
2020-05-15,601398,3.53951983
2020-05-15,601728,
2020-05-18,2352,41.5581984
2020-05-18,600036,25.5873098
2020-05-18,600104,15.4544544
2020-05-18,600660,16.41326926
2020-05-18,600900,13.83445224
2020-05-18,600941,
2020-05-18,601006,4.66113186
2020-05-18,601088,10.01789428
2020-05-18,601398,3.5464737
2020-05-18,601728,
2020-05-19,2352,42.72474432
2020-05-19,600036,25.94310967
2020-05-19,600104,15.6467988
2020-05-19,600660,16.832017
2020-05-19,600900,13.81821462
2020-05-19,600941,
2020-05-19,601006,4.6409538
2020-05-19,601088,10.29894493
2020-05-19,601398,3.56038144
2020-05-19,601728,
2020-05-20,2352,41.73135756
2020-05-20,600036,26.25348828
2020-05-20,600104,15.5631708
2020-05-20,600660,16.60211628
2020-05-20,600900,13.83445224
2020-05-20,600941,
2020-05-20,601006,4.60059768
2020-05-20,601088,10.22399809
2020-05-20,601398,3.56038144
2020-05-20,601728,
2020-05-21,2352,41.01138
2020-05-21,600036,26.29133933
2020-05-21,600104,15.4795428
2020-05-21,600660,16.41326926
2020-05-21,600900,13.81821462
2020-05-21,600941,
2020-05-21,601006,4.58714564
2020-05-21,601088,10.12406897
2020-05-21,601398,3.5464737
2020-05-21,601728,
2020-05-22,2352,40.4645616
2020-05-22,600036,25.45861623
2020-05-22,600104,15.3541008
2020-05-22,600660,16.15873632
2020-05-22,600900,13.61524437
2020-05-22,600941,
2020-05-22,601006,4.54678952
2020-05-22,601088,9.93670187
2020-05-22,601398,3.51170435
2020-05-22,601728,
2020-05-25,2352,40.63772076
2020-05-25,600036,25.04982489
2020-05-25,600104,15.68025
2020-05-25,600660,16.07662892
2020-05-25,600900,13.85880867
2020-05-25,600941,
2020-05-25,601006,4.5400635
2020-05-25,601088,10.0553677
2020-05-25,601398,3.53951983
2020-05-25,601728,
2020-05-26,2352,40.90201632
2020-05-26,600036,25.30721203
2020-05-26,600104,15.7137012
2020-05-26,600660,16.24084372
2020-05-26,600900,13.85068986
