日期,2352,600036,600104,600660,600900,600941,601006,601088,601398,601728
2020-01-02,33.9698106,29.43297648,20.2128876,20.16557744,14.99544207,,5.49515834,11.61051463,4.15146039,
2020-01-03,33.70697055,29.8266274,20.154348,20.13273448,15.07663017,,5.48843232,11.59177792,4.16536813,
2020-01-06,33.39881325,29.70550404,19.5355008,20.42011038,14.7762342,,5.42789814,11.72918046,4.15146039,
2020-01-07,34.1692065,29.63737215,19.6776684,20.45295334,14.76811539,,5.46152824,11.75416274,4.17927587,
2020-01-08,33.76135125,29.07717661,19.9787292,20.53506074,14.65445205,,5.40772008,11.46062095,4.10973717,
2020-01-09,33.7704147,29.4481169,20.865186,20.60074666,14.68692729,,5.46152824,11.4918488,4.10973717,
2020-01-10,34.06950855,29.55409984,20.948814,20.58432518,14.613858,,5.4480762,11.34195512,4.10973717,
2020-01-13,34.3686024,29.5995211,21.157884,20.72390776,14.67068967,,5.40099406,11.36069183,4.12364491,
2020-01-14,33.9154299,29.37998501,20.8819116,21.50392806,14.75999658,,5.40772008,11.33570955,4.13059878,
2020-01-15,33.534765,28.85764052,20.5390368,21.17549846,14.62197681,,5.3471859,11.13585131,4.08887556,
2020-01-16,33.4078767,28.73651716,20.739744,21.20013068,14.63009562,,5.32700784,11.1171146,4.0332446,
2020-01-17,33.6979071,28.71380653,20.6895672,21.05233736,14.40276894,,5.33373386,11.1795703,4.04715234,
2020-01-20,35.2205667,29.00147451,20.196162,20.54327148,14.50831347,,5.380816,11.0546589,4.06106008,
2020-01-21,35.3112012,28.60782359,19.318068,20.3215815,14.44336299,,5.32028182,10.94223864,4.01238299,
2020-01-22,34.81271145,28.63053422,19.4100588,20.52685,14.2891056,,5.27319968,11.0546589,4.02629073,
2020-01-23,35.5468509,27.86594301,18.9082908,20.19020966,13.92375915,,5.1790354,10.79234496,3.97761364,
2020-02-03,35.0392977,26.51844563,17.14374,18.62195832,13.90752153,,4.85618644,9.98042086,3.76899754,
2020-02-04,35.166186,26.76069235,17.060112,19.59082564,14.05366011,,4.97052878,10.14905125,3.8246285,
2020-02-05,38.1571245,26.76826256,17.4698892,19.6236686,14.05366011,,4.96380276,10.14280568,3.81767463,
2020-02-06,41.10274575,27.06350075,17.5702428,19.6647223,14.15920464,,4.95707674,10.16154239,3.8246285,
2020-02-07,40.64957325,26.81368382,17.77095,19.56619342,14.52455109,,4.95707674,10.10533226,3.78290528,
2020-02-10,40.9849209,26.5714371,17.896392,19.81251562,14.31346203,,4.90326858,10.21150695,3.76899754,
2020-02-11,40.16014695,26.92723697,17.8378524,20.09168078,14.2891056,,4.93689868,10.39887405,3.79681302,
2020-02-12,39.7885455,26.9499476,18.105462,20.12452374,14.27286798,,4.9436247,10.39887405,3.79681302,
2020-02-13,38.8640736,26.70013067,18.0301968,19.81251562,14.2891056,,4.92344664,10.35515506,3.76204367,
2020-02-14,38.49247215,26.98022844,17.9716572,20.02599486,14.30534322,,4.9099946,10.44259304,3.77595141,
2020-02-17,42.00909075,27.38144957,19.0170072,20.75675072,14.36217489,,4.9772548,10.54876773,3.81767463,
2020-02-18,41.42902995,27.0256497,18.8832024,20.45295334,14.22415512,,4.96380276,10.44883861,3.79681302,
2020-02-19,42.2538039,26.89695613,19.02537,20.23126336,14.22415512,,4.95707674,10.3676462,3.81072076,
2020-02-20,42.40788255,27.23761558,19.23444,20.60074666,14.30534322,,4.99070684,10.46757532,3.83158237,
2020-02-21,41.50153755,26.98022844,19.945278,20.53506074,14.23227393,,4.99070684,10.45508418,3.81767463,
2020-02-24,41.6556162,26.53358605,19.819836,20.65822184,14.13484821,,4.92344664,10.32392721,3.78290528,
2020-02-25,44.98190235,26.21563723,19.8031104,20.50221778,13.94811558,,4.86963848,10.14280568,3.76204367,
2020-02-26,44.00304975,26.36704143,19.6609428,20.116313,13.801977,,4.90326858,10.27396265,3.76204367,
2020-02-27,45.3535038,26.66227962,19.527138,19.9520982,13.98870963,,4.8763645,10.24898037,3.7550898,
2020-02-28,44.36558775,25.8901182,18.5737788,19.02428458,13.82633343,,4.76202216,9.992912,3.6855511,
2020-03-02,45.34444035,26.30647975,19.401696,19.45124306,14.01306606,,4.84946042,10.37389177,3.72727432,
